sample_mode,predictor,label,domain,test,outcome,coef,se_CR2,t,p_CR2,N,G,note
common3,CASA,CASA,Temporal,X × Post2020,CI,-0.0004260160901081824,0.0003158385957647564,-1.3488411353800744,0.18948008610165099,268,26,
common3,CASA,CASA,Temporal,Pre-2020 slope,CI,0.0019161564005154797,0.00047375199088209655,4.044640312640621,0.0004417429896751993,268,26,
common3,CASA,CASA,Temporal,Post-2020 slope,CI,0.0014901403104072973,0.00044110796200492124,3.3781759541004894,0.002393340941706906,268,26,
common3,CASA,CASA,Cost reconfiguration,H4 absolute contrast,NonAssetMinusAsset_raw,0.0012862446450810996,0.000484586588658532,2.6543133367387983,0.013620940848367008,267,26,
common3,CASA,CASA,Cost reconfiguration,H4 direct composition share,AssetCostShare_raw,-0.007830216722906886,0.009376254399055333,-0.8351113770650025,0.41156505972700075,267,26,
common3,CASA,CASA,Cost reconfiguration,H4 Staff component,Staff_raw,0.0005398533741600669,0.0002978413448647317,1.812553506986238,0.0819279564322868,267,26,
common3,CASA,CASA,Cost reconfiguration,H4 AssetCost component,AssetCost_raw,0.00016916768843464129,0.00012418028181107685,1.3622749599812196,0.1852595628286983,267,26,
common3,CASA,CASA,Cost reconfiguration,H4 Other component,Other_raw,0.000915558959355674,0.000364825071191336,2.5095834460222726,0.018931063091636606,267,26,
common3,CASA,CASA,Physical network,ln(network count),lnNetwork,-0.05105813690726302,0.05750117013719714,-0.8879495284259239,0.3830315648475743,268,26,
common3,CASA,CASA,Physical network,network/TA intensity,NetworkIntensity,-7.237411129892024,7.59843095637729,-0.9524875821655963,0.3499687879407136,268,26,
common3,CASA,CASA,Scale,BIG bank-year interaction,CI,-0.0011069344722878368,0.0006011305804479636,-1.8414209961884607,0.0774561492461453,268,26,
common3,CASA,CASA,Scale,Small-bank slope,CI,0.002335060257821505,0.0005237917177852603,4.457993852393851,0.0001518532302756813,268,26,
common3,CASA,CASA,Scale,Large-bank slope,CI,0.0012281257855336681,0.0006524021308138725,1.8824674652757183,0.07146166760440141,268,26,
common3,CASA,CASA,Scale,BIG fixed mean,CI,-0.00010523633682134022,0.000691879119845702,-0.15210220080757644,0.8803271904007871,268,26,
common3,CASA,CASA,Scale,BIG fixed 2015,CI,-0.00036620696931607597,0.0015560099448309588,-0.2353500185089497,0.8167487803616567,194,18,
common3,CASA,CASA,Scale,Continuous lnTA interaction,CI,-0.00039060478396802886,0.0002397099941976846,-1.6294889383957183,0.1157468137381705,268,26,
common3,SW_delta,Software net change,Baseline,CI baseline,CI,0.0003947860710535098,0.00030978844332665064,1.27437313934024,0.21425010266065553,268,26,Current-period net change in gross software value
common3,SW_delta,Software net change,Temporal,X × Post2020,CI,-0.0023298381290549185,0.0007746840093302708,-3.0074689821842435,0.0059307467398137395,268,26,
common3,SW_delta,Software net change,Temporal,Pre-2020 slope,CI,0.0026384569308180858,0.000848973511420089,3.1078200854638025,0.004653312097809332,268,26,
common3,SW_delta,Software net change,Temporal,Post-2020 slope,CI,0.00030861880176316723,0.00020707456044669295,1.4903752595076243,0.1486355429167539,268,26,
common3,SW_delta,Software net change,Cost reconfiguration,H4 absolute contrast,NonAssetMinusAsset_raw,3.948991025851746e-05,0.00031922430977559483,0.12370583645799936,0.9025374185041442,267,26,
common3,SW_delta,Software net change,Cost reconfiguration,H4 direct composition share,AssetCostShare_raw,0.009407237144946894,0.003274576797531743,2.8728100535121754,0.008178520942612906,267,26,
common3,SW_delta,Software net change,Cost reconfiguration,H4 Staff component,Staff_raw,-0.00024067976107095595,0.00024322221135773833,-0.9895468005467524,0.33187706733649913,267,26,
common3,SW_delta,Software net change,Cost reconfiguration,H4 AssetCost component,AssetCost_raw,0.000206896089920842,4.086784712541982e-05,5.062563958553924,3.170320390894762e-05,267,26,
common3,SW_delta,Software net change,Cost reconfiguration,H4 Other component,Other_raw,0.00048706576125031546,0.00015406700541126795,3.1613891627875637,0.004084073411965503,267,26,
common3,SW_delta,Software net change,Physical network,ln(network count),lnNetwork,-0.055122670769542526,0.013654531537554648,-4.036950708849751,0.0004505646065624965,268,26,
common3,SW_delta,Software net change,Physical network,network/TA intensity,NetworkIntensity,-0.11091158303792925,2.682943467991363,-0.041339515484075905,0.9673536203796913,268,26,
common3,SW_delta,Software net change,Scale,BIG bank-year interaction,CI,-0.0026431354415123614,0.0010352057750963768,-2.5532464222065294,0.01715470076539132,268,26,
common3,SW_delta,Software net change,Scale,Small-bank slope,CI,0.0031781436105593926,0.0010660905738208164,2.9811196990224587,0.0063180978978527105,268,26,
common3,SW_delta,Software net change,Scale,Large-bank slope,CI,0.0005350081690470312,0.00035253196646062784,1.5176160460523316,0.14165636784075125,268,26,
common3,SW_delta,Software net change,Scale,BIG fixed mean,CI,-0.0014592307733745993,0.0014264752407759961,-1.022962566515199,0.31612295691447406,268,26,
common3,SW_delta,Software net change,Scale,BIG fixed 2015,CI,-0.005483231189729227,0.003067839175506616,-1.7873268043210704,0.09172623880251829,194,18,
common3,SW_delta,Software net change,Scale,Continuous lnTA interaction,CI,-0.0016894570590909972,0.000515582660220812,-3.27679185015152,0.0030765749692597917,268,26,
common3,SW_stock,Software stock,Baseline,CI baseline,CI,-0.000630074566962861,0.0005417450198461309,-1.1630463481543734,0.2557923241909056,268,26,Accumulated software value / digital capital
common3,SW_stock,Software stock,Temporal,X × Post2020,CI,-0.003024924477835802,0.0016241373259198095,-1.8624807333472708,0.07432830719039807,268,26,
common3,SW_stock,Software stock,Temporal,Pre-2020 slope,CI,0.0028158216937478487,0.0014991510969012425,1.8782774461948333,0.07205454419838019,268,26,
common3,SW_stock,Software stock,Temporal,Post-2020 slope,CI,-0.0002091027840879535,0.0003964334062797719,-0.5274600494701625,0.6025243269808374,268,26,
common3,SW_stock,Software stock,Cost reconfiguration,H4 absolute contrast,NonAssetMinusAsset_raw,-0.0009871924871400666,0.00038081329720778743,-2.5923267238260688,0.015697498417194665,267,26,
